text,class
"I feel hopeless and want to die.",suicidal
"I can't see any way out of this pain.",suicidal
"My life has no meaning anymore.",suicidal
"I want to end my life.",suicidal
"I’m struggling, but I want to get help.",non-suicidal
"Life is hard, but I’m trying to stay strong.",non-suicidal
"I feel overwhelmed but I’ll keep going.",non-suicidal
"Please don’t ignore this post — I need support.",suicidal
"I’m feeling really down and trapped.",suicidal
"I made a plan to hurt myself.",suicidal
"I’m just having a bad day but I’ll be okay.",non-suicidal
"Sometimes I think about death, but I’m not serious.",non-suicidal
"I want to talk to someone about my feelings.",non-suicidal
"I have hope things will get better.",non-suicidal
"I can’t take this anymore — I’m done.",suicidal
"I’ve been thinking about ending it all.",suicidal
"I’m scared and need help.",suicidal
"I’m struggling but open to therapy.",non-suicidal
"I deserve to live and get help.",non-suicidal
"I’m tired of fighting — I want it to stop.",suicidal
"I’ve lost all motivation to keep going.",suicidal
"Nothing makes sense anymore.",suicidal
"I’ve stopped caring about everything.",suicidal
"I want to disappear forever.",suicidal
"I’m drowning in my own thoughts.",suicidal
"I don’t belong anywhere.",suicidal
"I’ve given up on life.",suicidal
"My mind won’t stop screaming at me.",suicidal
"I’m a burden to everyone.",suicidal
"I just want the pain to end.",suicidal
"I finally found a hobby I enjoy.",non-suicidal
"I’m learning to accept myself slowly.",non-suicidal
"Today was a good day!",non-suicidal
"I made new friends this week.",non-suicidal
"Started therapy and it helps.",non-suicidal
"Found a job I love!",non-suicidal
"I’m proud of how far I’ve come.",non-suicidal
"Got my first promotion!",non-suicidal
"Adopted a cat yesterday!",non-suicidal
"Going on a vacation next month.",non-suicidal
"I learned to cook something new.",non-suicidal
"Reading changed my perspective.",non-suicidal
"Started exercising regularly.",non-suicidal
"Got my college acceptance letter!",non-suicidal
"Made peace with my past.",non-suicidal
"Volunteering feels rewarding.",non-suicidal
"Found a support group online.",non-suicidal
"Listening to music helps me cope.",non-suicidal
"Got a compliment that made my day.",non-suicidal
"Trying yoga for stress relief.",non-suicidal
"Started journaling to process emotions.",non-suicidal
"I’m learning to say 'no' to toxic people.",non-suicidal
"Taking small steps forward every day.",non-suicidal
"Found a mentor who inspires me.",non-suicidal
"Discovered a new passion for art.",non-suicidal
"Learned to set healthy boundaries.",non-suicidal
"Helping others makes me feel alive.",non-suicidal
"Found comfort in nature walks.",non-suicidal
"Started meditating daily.",non-suicidal
"Made progress in therapy sessions.",non-suicidal
"I’m grateful for today.",non-suicidal
"Little joys make life worth living.",non-suicidal
"Found strength in vulnerability.",non-suicidal
"Learning to celebrate small wins.",non-suicidal
"Connected with old friends.",non-suicidal
"Started reading self-help books.",non-suicidal
"Rediscovering childhood hobbies.",non-suicidal
"Found peace in routine.",non-suicidal
"Started cooking healthy meals.",non-suicidal
"Learning Spanish feels empowering.",non-suicidal
"Practicing gratitude daily.",non-suicidal
"Exploring new music genres.",non-suicidal
"Found beauty in everyday moments.",non-suicidal
"Started a savings plan.",non-suicidal
"Rediscovered love for photography.",non-suicidal
